DATE,4wk BANK DISCOUNT,8 wk BANK DISCOUNT,13 wk BANK DISCOUNT,26 wk BANK DISCOUNT,52 wk BANK DISCOUNT
1/2/2020,1.5,1.52,1.51,1.53,1.52
1/3/2020,1.49,1.52,1.49,1.51,1.51
1/6/2020,1.51,1.51,1.53,1.52,1.5
1/7/2020,1.49,1.5,1.51,1.52,1.49
1/8/2020,1.47,1.5,1.51,1.52,1.51
1/9/2020,1.5,1.52,1.51,1.52,1.5
1/10/2020,1.49,1.52,1.51,1.51,1.49
1/13/2020,1.51,1.53,1.54,1.53,1.49
1/14/2020,1.5,1.53,1.54,1.53,1.49
1/15/2020,1.5,1.53,1.54,1.54,1.5
1/16/2020,1.51,1.53,1.52,1.52,1.5
1/17/2020,1.51,1.53,1.53,1.53,1.52
1/21/2020,1.49,1.51,1.53,1.53,1.5
1/22/2020,1.49,1.5,1.52,1.52,1.51
1/23/2020,1.52,1.54,1.52,1.52,1.51
1/24/2020,1.51,1.52,1.51,1.51,1.51
1/27/2020,1.5,1.52,1.52,1.53,1.5
1/28/2020,1.5,1.54,1.54,1.54,1.49
1/29/2020,1.49,1.52,1.53,1.53,1.47
1/30/2020,1.56,1.55,1.54,1.53,1.44
1/31/2020,1.53,1.54,1.52,1.5,1.41
2/3/2020,1.53,1.54,1.54,1.52,1.42
2/4/2020,1.52,1.54,1.54,1.53,1.44
2/5/2020,1.52,1.53,1.54,1.53,1.45
2/6/2020,1.56,1.56,1.54,1.54,1.47
2/7/2020,1.54,1.55,1.53,1.53,1.45
2/10/2020,1.55,1.55,1.55,1.54,1.42
2/11/2020,1.54,1.55,1.54,1.51,1.44
2/12/2020,1.54,1.56,1.55,1.52,1.45
2/13/2020,1.56,1.56,1.56,1.52,1.45
2/14/2020,1.57,1.57,1.55,1.52,1.45
2/18/2020,1.58,1.57,1.55,1.52,1.44
2/19/2020,1.58,1.58,1.55,1.52,1.44
2/20/2020,1.58,1.57,1.55,1.51,1.43
2/21/2020,1.57,1.57,1.53,1.49,1.4
2/24/2020,1.57,1.56,1.5,1.45,1.33
2/25/2020,1.56,1.55,1.5,1.43,1.27
2/26/2020,1.56,1.54,1.5,1.39,1.23
2/27/2020,1.54,1.5,1.42,1.3,1.15
2/28/2020,1.43,1.35,1.25,1.09,0.95
3/2/2020,1.4,1.27,1.1,0.93,0.87
3/3/2020,1.1,1.05,0.93,0.82,0.71
3/4/2020,1,0.89,0.71,0.67,0.58
3/5/2020,0.91,0.82,0.61,0.52,0.47
3/6/2020,0.78,0.64,0.45,0.4,0.38
3/9/2020,0.56,0.53,0.32,0.27,0.3
