Month,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
Nov-00,3.9,3.4,3.4,13,3.5,7.3,,6
Dec-00,3.9,3.4,3.3,13.2,3.5,7.4,,5.7
Jan-01,4.2,3.6,3.6,13.8,3.6,8.2,,5.8
Feb-01,4.2,3.7,3.7,13.7,3.7,7.7,,6.1
Mar-01,4.3,3.8,3.6,13.8,3.7,8.3,,6.2
Apr-01,4.4,3.9,3.7,13.9,3.9,8,,6.4
May-01,4.3,3.9,3.8,13.4,3.8,7.9,,6.3
Jun-01,4.5,4,3.9,14.2,4,8.3,,6.6
Jul-01,4.6,4.1,3.9,14.4,4,8,,6.2
Aug-01,4.9,4.4,4.3,15.6,4.3,9.1,,6.5
Sep-01,5,4.3,4.4,15.2,4.3,8.9,,6.7
Oct-01,5.3,4.8,4.7,16,4.7,9.5,,7.1
Nov-01,5.5,5,4.8,15.9,4.9,9.8,,7.3
Dec-01,5.7,5.1,5.1,17,5.1,10.1,,7.7
Jan-02,5.7,5.2,4.9,16.5,5.1,10,,7.8
Feb-02,5.7,5.2,5,16,5,9.9,,7
Mar-02,5.7,5.2,5,16.6,5,10.5,,7.5
Apr-02,5.9,5.4,5.3,16.7,5.2,10.7,,8
May-02,5.8,5.2,5.2,16.6,5.1,10.2,,7.1
Jun-02,5.8,5.3,5.1,16.7,5.1,10.5,,7.4
Jul-02,5.8,5.3,5.1,16.8,5.2,9.8,,7.4
Aug-02,5.7,5.2,5,17,5.1,9.8,,7.5
Sep-02,5.7,5.2,4.9,16.3,5.1,9.7,,7.4
Oct-02,5.7,5.3,5.1,15.1,5.1,9.8,,7.9
Nov-02,5.9,5.5,5,17.1,5.1,10.7,,7.8
Dec-02,6,5.6,5.1,16.9,5.1,11.3,,7.9
Jan-03,5.8,5.6,4.9,17.2,5.2,10.5,5.5,7.9
Feb-03,5.9,5.5,5.1,17.2,5.1,10.7,5.8,7.7
Mar-03,5.9,5.4,5.1,17.8,5.1,10.3,6.5,7.8
Apr-03,6,5.7,5.1,17.7,5.3,10.9,6,7.6
May-03,6.1,5.8,5.2,17.9,5.4,10.9,5.5,8
Jun-03,6.3,6,5.2,19,5.5,11.5,7.4,8.3
Jul-03,6.2,5.9,5.1,18.2,5.4,10.9,5.9,8
Aug-03,6.1,5.8,5.2,16.6,5.4,10.9,6,7.7
Sep-03,6.1,5.7,5.3,17.6,5.3,11.1,6.4,7.3
Oct-03,6,5.6,5.1,17.2,5.1,11.4,6.2,7.5
Nov-03,5.8,5.6,5,15.7,5.2,10.2,5.2,7.4
Dec-03,5.7,5.2,5.1,16.2,5,10.1,5.4,6.7
Jan-04,5.7,5.2,5.1,17,5,10.4,5,7.3
Feb-04,5.6,5.1,4.9,16.5,4.9,9.7,4.5,7.4
Mar-04,5.8,5.2,5.3,16.8,5.1,10.3,4.3,7.6
Apr-04,5.6,5.1,4.9,16.6,5,9.8,4.7,7.1
May-04,5.6,5.2,4.8,17.1,4.9,10.1,4.6,6.9
Jun-04,5.6,5.1,5,17,5,10.2,4.6,6.6
Jul-04,5.5,5,4.8,17.8,4.7,11,3.9,6.8
Aug-04,5.4,5,4.7,16.7,4.7,10.5,3.7,6.8
Sep-04,5.4,5,4.6,16.6,4.6,10.3,4.5,6.8
Oct-04,5.5,4.9,4.7,17.4,4.6,10.8,4.9,6.8
Nov-04,5.4,4.9,4.7,16.4,4.6,10.7,4.1,6.7
Dec-04,5.4,4.8,4.6,17.6,4.5,10.7,4.2,6.6
Jan-05,5.3,4.7,4.7,16.2,4.5,10.6,4.1,6
Feb-05,5.4,4.8,4.7,17.5,4.6,10.9,4.3,6.3
Mar-05,5.2,4.6,4.6,17.1,4.5,10.5,3.9,5.8
Apr-05,5.2,4.4,4.6,17.8,4.4,10.3,4.2,6.4
May-05,5.1,4.3,4.7,17.8,4.4,10.1,4.2,6
Jun-05,5,4.3,4.6,16.3,4.3,10.2,3.6,5.7
Jul-05,5,4.2,4.6,16.1,4.2,9.2,4.8,5.5
Aug-05,4.9,4.3,4.4,16.1,4.2,9.7,3.7,5.8
Sep-05,5,4.5,4.6,15.5,4.4,9.4,4.3,6.4
